This is sample data with 3 free parameters.
FIT par3
LOWER_LIMITS  14.1 0.6 2.20
UPPER_LIMITS  14.3 1.4 2.35
PLOT 2d
DATA_TYPE chisq
x y z value
14.2 0.9 2.1  1067.482287
14.2 0.9 2.15  896.489721
14.2 0.9 2.22  665.771791
14.2 0.9 2.23  488.754524
14.2 0.9 2.24  450.980200
14.2 0.9 2.25  338.614197
14.2 0.9 2.26  342.912772
14.2 0.9 2.27  479.295976
14.2 0.9 2.28  471.661512
14.2 0.9 2.29  392.572739
14.2 0.9 2.3  403.162477
14.2 0.9 2.35  503.264333
14.2 0.9 2.4  817.828698
14.2 0.9 2.5  1049.477154
14.2 1.0 2.05  1125.612845
14.2 1.0 2.1  791.080667
14.2 1.0 2.15  541.735823
14.2 1.0 2.2  404.339430
14.2 1.0 2.22  442.274819
14.2 1.0 2.23  479.784458
14.2 1.0 2.24  422.805307
14.2 1.0 2.25  414.901246
14.2 1.0 2.26  313.983750
14.2 1.0 2.27  263.553922
14.2 1.0 2.28  430.015406
14.2 1.0 2.29  271.558593
14.2 1.0 2.3  358.827772
14.2 1.0 2.35  653.561448
14.2 1.0 2.4  851.579595
14.2 1.0 2.5  1513.056503
14.21 0.6 2.05  3484.654530
14.21 0.6 2.1  3225.342770
14.21 0.6 2.15  2527.131512
14.21 0.6 2.2  2114.044327
14.21 0.6 2.22  1684.157104
14.21 0.6 2.23  1889.422728
14.21 0.6 2.35  1409.678350
14.21 0.6 2.4  1284.911510
14.21 0.6 2.5  1714.099302
14.21 0.7 2.05  2627.056785
14.21 0.7 2.1  2106.049115
14.21 0.7 2.15  1801.221889
14.21 0.7 2.2  1504.976147
14.21 0.7 2.22  1173.495330
14.21 0.7 2.23  1399.733734
14.21 0.7 2.24  1260.170783
14.21 0.7 2.25  1051.644134
14.21 0.7 2.26  973.223939
14.21 0.7 2.27  1127.637522
14.21 0.7 2.28  1215.929193
14.21 0.7 2.29  1062.194626
14.21 0.7 2.3  870.722748
14.21 0.7 2.35  860.993541
14.21 0.7 2.4  989.886744
14.21 0.7 2.5  987.232933
14.21 0.8 2.05  2361.571582
14.21 0.8 2.1  1528.949153
14.21 0.8 2.15  1407.504508
14.21 0.8 2.2  794.832850
14.21 0.8 2.22  1024.690290
14.21 0.8 2.23  920.349826
14.21 0.8 2.24  732.765051
14.21 0.8 2.25  737.591540
14.21 0.8 2.26  917.519454
14.21 0.8 2.27  769.841404
14.21 0.8 2.28  760.454693
14.21 0.8 2.29  657.900516
14.21 0.8 2.3  472.737775
14.21 0.8 2.35  711.313420
14.21 0.8 2.4  658.535420
14.21 0.8 2.5  1135.528614
14.21 0.9 2.05  1339.504361
14.21 0.9 2.1  1112.768403
14.21 0.9 2.15  759.470534
14.21 0.9 2.22  560.423164
14.21 0.9 2.23  477.116656
14.21 0.9 2.24  550.223055
14.21 0.9 2.25  520.870024
14.21 0.9 2.26  570.085287
14.21 0.9 2.27  415.391514
14.21 0.9 2.28  310.831735
14.21 0.9 2.29  376.951990
14.21 0.9 2.3  544.329892
14.21 0.9 2.35  395.346135
14.21 0.9 2.4  670.840354
14.21 0.9 2.5  1165.777393
14.21 1.0 2.05  1142.758440
14.21 1.0 2.1  867.804741
14.21 1.0 2.15  622.172505
14.21 1.0 2.2  435.575733
14.21 1.0 2.22  391.140511
14.21 1.0 2.23  381.883993
14.21 1.0 2.24  413.043745
14.21 1.0 2.25  424.399512
14.21 1.0 2.26  456.650975
14.21 1.0 2.27  416.622008
14.21 1.0 2.28  476.464809
14.21 1.0 2.29  442.028231
14.21 1.0 2.3  400.518624
14.21 1.0 2.35  443.305045
14.21 1.0 2.4  909.861534
14.21 1.0 2.5  1554.630701
14.21 1.1 2.24  421.504354
14.21 1.1 2.25  413.029875
14.21 1.1 2.26  551.194906
14.21 1.1 2.27  384.236051
14.21 1.1 2.28  539.037459
14.21 1.1 2.29  539.865090
14.21 1.1 2.3  615.656049
14.21 1.2 2.24  619.804355
14.21 1.2 2.25  621.056096
14.21 1.2 2.26  601.978992
14.21 1.2 2.27  726.775605
14.21 1.2 2.28  782.984883
14.21 1.2 2.29  760.197790
14.21 1.2 2.3  822.730269
14.2 1.1 2.24  400.405921
14.2 1.1 2.25  359.506395
14.2 1.1 2.26  379.244824
14.2 1.1 2.27  514.700176
14.2 1.1 2.28  346.576460
14.2 1.1 2.29  599.806129
14.2 1.1 2.3  637.215009
14.21 1.3 2.24  1078.280695
14.21 1.3 2.25  1039.756717
14.21 1.3 2.26  1061.291872
14.21 1.3 2.27  994.769661
14.21 1.3 2.28  1072.055349
14.21 1.3 2.29  988.243131
14.21 1.3 2.3  1506.027825
14.2 1.2 2.24  659.393064
14.2 1.2 2.25  732.574525
14.2 1.2 2.26  740.649277
14.2 1.2 2.27  680.987006
14.2 1.2 2.28  899.125382
14.2 1.2 2.29  744.053396
14.2 1.2 2.3  801.272250
14.2 1.3 2.24  874.460989
14.2 1.3 2.25  893.965007
14.2 1.3 2.26  1322.888670
14.2 1.3 2.27  1109.896455
14.2 1.3 2.28  1244.367981
14.2 1.3 2.29  1013.060159
14.2 1.3 2.3  1377.956882
14.22 0.6 2.05  3719.249803
14.22 0.6 2.1  2946.847926
14.22 0.6 2.15  2227.452841
14.22 0.6 2.2  2159.717677
14.22 0.6 2.22  1753.056116
14.22 0.6 2.23  2054.241818
14.22 0.6 2.35  1356.549339
14.22 0.6 2.4  1593.447851
14.22 0.6 2.5  1599.981363
14.22 0.7 2.05  2697.519024
14.22 0.7 2.1  2076.966485
14.22 0.7 2.15  1976.621572
14.22 0.7 2.2  1234.469362
14.22 0.7 2.22  1303.318574
14.22 0.7 2.23  1378.548887
14.22 0.7 2.24  1308.015943
14.22 0.7 2.25  1232.270731
14.22 0.7 2.26  1182.578765
14.22 0.7 2.27  990.134531
14.22 0.7 2.28  989.222642
14.22 0.7 2.29  1013.530216
14.22 0.7 2.3  995.472133
14.22 0.7 2.35  963.438381
14.22 0.7 2.4  1085.001321
14.22 0.7 2.5  1371.379151
14.22 0.8 2.05  2136.159910
14.22 0.8 2.1  1673.955236
14.22 0.8 2.15  1249.384667
14.22 0.8 2.2  1125.005082
14.22 0.8 2.22  887.308043
14.22 0.8 2.23  804.338869
14.22 0.8 2.24  627.964172
14.22 0.8 2.25  744.959382
14.22 0.8 2.26  627.559848
14.22 0.8 2.27  696.384183
14.22 0.8 2.28  648.675734
14.22 0.8 2.29  767.206311
14.22 0.8 2.3  569.741331
14.22 0.8 2.35  711.955364
14.22 0.8 2.4  775.943489
14.22 0.8 2.5  1077.995811
14.22 0.9 2.05  1370.870756
14.22 0.9 2.1  912.597485
14.22 0.9 2.15  722.890204
14.22 0.9 2.22  509.836245
14.22 0.9 2.23  568.695596
14.22 0.9 2.24  452.555256
14.22 0.9 2.25  486.177675
14.22 0.9 2.26  527.193338
14.22 0.9 2.27  490.416387
14.22 0.9 2.28  616.935699
14.22 0.9 2.29  532.042756
14.22 0.9 2.3  464.842018
14.22 0.9 2.35  664.184659
14.22 0.9 2.4  761.845753
14.22 0.9 2.5  1245.801260
14.22 1.0 2.05  1042.059389
14.22 1.0 2.1  737.406948
14.22 1.0 2.15  462.110728
14.22 1.0 2.2  458.014779
14.22 1.0 2.22  424.246809
14.22 1.0 2.23  388.961027
14.22 1.0 2.24  437.627969
14.22 1.0 2.25  469.849230
14.22 1.0 2.26  515.059842
14.22 1.0 2.27  374.427387
14.22 1.0 2.28  449.111765
14.22 1.0 2.29  464.967651
14.22 1.0 2.3  481.208200
14.22 1.0 2.35  699.357128
14.22 1.0 2.4  838.182794
14.22 1.0 2.5  1576.548618
14.22 1.1 2.24  458.186188
14.22 1.1 2.25  358.918413
14.22 1.1 2.26  617.077934
14.22 1.1 2.27  618.268752
14.22 1.1 2.28  518.460755
14.22 1.1 2.29  506.344733
14.22 1.1 2.3  604.427757
14.22 1.2 2.24  671.573142
14.22 1.2 2.25  664.843107
14.22 1.2 2.26  764.374649
14.22 1.2 2.27  758.834142
14.22 1.2 2.28  864.767810
14.22 1.2 2.29  694.842261
14.22 1.2 2.3  1207.721227
14.22 1.3 2.24  1125.151463
14.22 1.3 2.25  1018.544013
14.22 1.3 2.26  1182.140600
14.22 1.3 2.27  1395.373631
14.22 1.3 2.28  1357.029692
14.22 1.3 2.29  1382.825803
14.22 1.3 2.3  1208.127773
14.23 0.2 2.15  5748.184779
14.23 0.2 2.2  5375.309432
14.23 0.2 2.23  4680.823422
