FIT 2parpoly3
PLOT 2d
LOWER_LIMITS  0 0
UPPER_LIMITS  1000 500
REFIT_FILTER 5
DATA_UPPER_LIMIT  220
DATA_TYPE chisq
40 380 205.405165639387064
40 40 208.176432980267663
40 400 207.390316889701268
40 420 205.709750331221557
40 440 209.215487254529421
40 460 206.581653097942649
40 480 212.494814623331706
40 500 209.942714056298911
40 520 212.128112444658143
40 540 210.687647670240864
40 560 212.680858810020652
40 580 209.001390188536618
40 60 206.355403451936525
40 600 212.205242293419019
40 640 211.383713828367235
40 680 209.214894415574264
40 720 212.112322990303511
40 760 210.788064573147551
40 80 204.813434146767264
40 800 213.437656659503887
400 1 204.857739812525011
400 100 205.416217438770218
400 120 205.761963366496872
400 140 204.935788215690621
400 160 203.758181285044316
400 180 206.744173694190891
400 20 204.821173088715142
400 200 208.062409124629426
400 220 206.471651210590352
400 240 207.266194915287855
400 260 205.943314595908817
400 280 206.199503896503074
400 300 206.528832038107225
400 320 204.748587566543137
400 340 204.038362566624016
400 360 205.523071140702541
400 380 205.263538790724880
400 40 206.607250912489349
400 400 205.818300947625119
400 420 205.522786545527680
400 440 207.409513470947132
400 460 205.557708913915519
400 480 208.673754830778648
400 500 207.590294739885991
400 520 209.363883833944158
400 540 207.812038004266952
400 560 209.501267902815584
400 580 205.820486736143522
400 60 205.259060611395398
400 600 207.032457340061768
400 640 207.003839353235122
400 680 204.845677059468471
400 720 207.325009744782761
400 760 207.720137778891171
400 80 205.385102006366850
400 800 209.034089516969289
60 1 206.678987519094790
60 100 204.362187068963408
60 120 202.924873106288203
60 140 201.893874452230705
60 160 199.813082496735092
60 180 204.342452615916727
60 20 205.477275264517715
60 200 205.674162245386412
60 220 204.173556785513796
60 240 205.258427991666736
60 260 202.799069432660701
60 280 203.238156440248304
60 300 204.130572905511372
60 320 200.937392455437021
60 340 200.288247535105228
60 360 201.854015500358884
60 380 203.775202829509567
60 40 207.333211360803546
60 400 205.615862267085362
60 420 203.335527939409218
60 440 207.835776336641516
60 460 204.366143292643244
60 480 211.198665934742593
60 500 208.461554571207813
60 520 210.251683533710207
60 540 208.661496329659116
60 560 211.544181817026555
60 580 205.995182457607058
60 60 205.411407932819742
60 600 211.049822794238594
60 640 209.317201133586167
60 680 206.720886454469138
60 720 210.722092330823216
60 760 207.914818157010870
60 80 203.497925999074340
60 800 212.420205740053973
80 1 206.629020203717346
80 100 203.855770900977745
80 120 202.205937541221715
80 140 200.999700602521330
80 160 198.718538911127723
80 180 203.357381471484643
80 20 205.390799312829984
80 200 204.478696509313266
80 220 202.979533804184712
80 240 203.906361961710729
80 260 201.471055633962465
80 280 201.396233888015786
80 300 202.647528049155795
80 320 198.811923030138530
80 340 198.526076695779551
80 360 199.893972734648599
80 380 202.268952776253172
80 40 207.094377062217802
80 400 204.207165270532045
80 420 201.726136735388991
80 440 206.256462369851391
80 460 202.324125078760090
80 480 210.519168845718809
80 500 207.199456347276907
80 520 209.700843084776977
80 540 207.366596599161966
80 560 210.995302759421094
80 580 204.466372913339427
80 60 205.082368233928463
80 600 210.172285564905025
80 640 208.203564336672343
80 680 205.088511397639280
80 720 210.200364892786553
80 760 207.095573327568673
80 80 202.903499993961390
80 800 212.068766091742191
